sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),target_label
7.4,3.5,5.9,2.2,virginica
6.0,3.7,5.9,2.3,virginica
9.1,2.8,5.4,2.0,virginica
6.6,3.3,5.3,1.9,virginica
5.3,3.1,4.6,1.7,virginica
9.6,2.3,8.0,2.0,virginica
4.5,3.1,4.8,2.9,virginica
4.9,3.3,5.5,2.2,virginica
5.6,2.4,6.7,1.5,virginica
6.2,3.2,8.3,2.0,virginica
5.9,2.6,4.3,2.1,virginica
5.5,3.3,6.1,2.7,virginica
6.1,2.8,5.2,2.9,virginica
6.6,3.1,5.5,1.6,virginica
8.9,2.9,3.1,2.1,virginica
6.5,2.5,7.5,1.8,virginica
6.8,3.9,5.6,1.7,virginica
6.9,3.2,4.7,1.3,virginica
6.3,3.2,5.7,1.5,virginica
4.0,2.7,7.7,1.3,virginica
4.7,3.3,5.3,1.4,virginica
6.0,4.1,5.7,2.0,virginica
6.3,3.1,4.8,2.9,virginica
3.8,3.1,5.3,1.8,virginica
7.8,2.8,6.5,1.2,virginica
6.6,4.2,4.6,2.2,virginica
6.6,3.4,5.3,1.7,virginica
6.0,3.6,6.0,1.6,virginica
5.6,2.5,6.6,2.8,virginica
6.1,4.1,5.4,1.9,virginica
6.6,4.2,6.6,2.6,virginica
6.0,2.8,6.6,2.9,virginica
7.0,2.5,5.7,1.8,virginica
5.0,2.8,7.7,2.6,virginica
6.5,2.7,5.9,2.3,virginica
6.9,3.0,5.6,2.5,virginica
8.4,3.3,4.4,1.6,virginica
7.7,3.3,6.0,1.4,virginica
5.9,2.5,6.0,1.5,virginica
4.9,3.5,2.9,2.0,virginica
8.4,3.4,4.4,1.6,virginica
4.8,2.3,6.5,1.6,virginica
7.4,2.5,6.6,2.1,virginica
7.3,2.9,5.8,1.9,virginica
4.1,2.9,5.0,2.3,virginica
8.5,2.6,5.9,3.0,virginica
7.2,3.4,5.7,1.3,virginica
